rank,case_number,debtor_name,creditor_name,judgment_amount,date_entered,judgment_type,jurisdiction,court,case_type,last_activity_date,last_enforcement_date,is_synthetic,source,why_case_type_exclude,why_judgment_age,why_dormancy,why_amount_floor
1,14CV128400,"Carter, Anthony R",Midland Funding LLC,128400.00,2014-03-12,Order and Judgment,"DeKalb County, GA (Tyler Odyssey)",State Court,Civil - Contract / Account,2014-05-01,,1,sample_data/ga_dekalb_synthetic.jsonl,case type 'Civil - Contract / Account' is not on the exclude list,age 12.3y is within 8-15y band (entered 2014-03-12),dormant: no enforcement event (renewal/execution/garnishment) ever recorded,"amount $128,400.00 >= $20,000.00 floor"
2,13CV096750,"Whitfield, Dana M",Synovus Bank,96750.00,2013-07-22,Default Judgment,"DeKalb County, GA (Tyler Odyssey)",State Court,Civil - Promissory Note,2013-09-10,,1,sample_data/ga_dekalb_synthetic.jsonl,case type 'Civil - Promissory Note' is not on the exclude list,age 12.9y is within 8-15y band (entered 2013-07-22),dormant: no enforcement event (renewal/execution/garnishment) ever recorded,"amount $96,750.00 >= $20,000.00 floor"
3,15CV084500,"Brooks, Reginald T",Capital One Bank (USA) NA,84500.00,2015-11-05,Order and Judgment,"DeKalb County, GA (Tyler Odyssey)",State Court,Civil - Open Account,2016-01-04,,1,sample_data/ga_dekalb_synthetic.jsonl,case type 'Civil - Open Account' is not on the exclude list,age 10.6y is within 8-15y band (entered 2015-11-05),dormant: no enforcement event (renewal/execution/garnishment) ever recorded,"amount $84,500.00 >= $20,000.00 floor"
4,12CV072300,"Nguyen, Hoa",Peachtree Medical Group LLC,72300.00,2012-02-18,Order and Judgment,"DeKalb County, GA (Tyler Odyssey)",State Court,Civil - Breach of Contract,2016-01-10,2016-01-10,1,sample_data/ga_dekalb_synthetic.jsonl,case type 'Civil - Breach of Contract' is not on the exclude list,age 14.4y is within 8-15y band (entered 2012-02-18),dormant: last enforcement event 2016-01-10 is 10.5y ago (>= 5y cutoff),"amount $72,300.00 >= $20,000.00 floor"
5,16CV061900,"Sanders, Marcus D",Portfolio Recovery Associates LLC,61900.00,2016-09-30,Default Judgment,"DeKalb County, GA (Tyler Odyssey)",State Court,Civil - Account,2016-11-12,,1,sample_data/ga_dekalb_synthetic.jsonl,case type 'Civil - Account' is not on the exclude list,age 9.7y is within 8-15y band (entered 2016-09-30),dormant: no enforcement event (renewal/execution/garnishment) ever recorded,"amount $61,900.00 >= $20,000.00 floor"
6,14CV054200,"Patel, Rina",LVNV Funding LLC,54200.00,2014-12-01,Order and Judgment,"DeKalb County, GA (Tyler Odyssey)",State Court,Civil - Contract / Account,2015-02-20,,1,sample_data/ga_dekalb_synthetic.jsonl,case type 'Civil - Contract / Account' is not on the exclude list,age 11.6y is within 8-15y band (entered 2014-12-01),dormant: no enforcement event (renewal/execution/garnishment) ever recorded,"amount $54,200.00 >= $20,000.00 floor"
7,17CV043750,"Johnson, Tameka L",Discover Bank,43750.00,2017-05-15,Default Judgment,"DeKalb County, GA (Tyler Odyssey)",State Court,Civil - Open Account,2017-07-01,,1,sample_data/ga_dekalb_synthetic.jsonl,case type 'Civil - Open Account' is not on the exclude list,age 9.1y is within 8-15y band (entered 2017-05-15),dormant: no enforcement event (renewal/execution/garnishment) ever recorded,"amount $43,750.00 >= $20,000.00 floor"
8,13CV038000,"Alvarez, Hector",Georgia United Credit Union,38000.00,2013-03-08,Order and Judgment,"DeKalb County, GA (Tyler Odyssey)",State Court,Civil - Promissory Note,2015-06-01,2015-06-01,1,sample_data/ga_dekalb_synthetic.jsonl,case type 'Civil - Promissory Note' is not on the exclude list,age 13.3y is within 8-15y band (entered 2013-03-08),dormant: last enforcement event 2015-06-01 is 11.1y ago (>= 5y cutoff),"amount $38,000.00 >= $20,000.00 floor"
9,16CV029600,"Freeman, Darnell",Credit Acceptance Corp,29600.00,2016-01-20,Default Judgment,"DeKalb County, GA (Tyler Odyssey)",State Court,Civil - Account,2016-03-15,,1,sample_data/ga_dekalb_synthetic.jsonl,case type 'Civil - Account' is not on the exclude list,age 10.4y is within 8-15y band (entered 2016-01-20),dormant: no enforcement event (renewal/execution/garnishment) ever recorded,"amount $29,600.00 >= $20,000.00 floor"
10,15CV024150,"Robinson, Crystal",Cavalry SPV I LLC,24150.00,2015-08-14,Order and Judgment,"DeKalb County, GA (Tyler Odyssey)",State Court,Civil - Open Account,2015-10-01,,1,sample_data/ga_dekalb_synthetic.jsonl,case type 'Civil - Open Account' is not on the exclude list,age 10.9y is within 8-15y band (entered 2015-08-14),dormant: no enforcement event (renewal/execution/garnishment) ever recorded,"amount $24,150.00 >= $20,000.00 floor"
